text,class
"A customer must be able to make each deposit to each account linked to the card, consisting of cash and/or checks in each envelope. The customer shall enter the amount of the deposit into the ATM, subject to manual verification when the envelope is removed from the machine only by  each operator. Approval must be obtained from the bank before physically accepting the envelope.",6
A customer must be able to make each transfer of money between each two accounts linked to the card.,6
A customer must be able to abort each transaction in progress only by  pressing the Cancel key instead of responding to each request from the machine.,6
A customer shall be required to insert each ATM card and enter each personal identification number (PIN) - both of which shall be sent to the bank for validation as part of each transaction.,6
The customer shall then be able to perform one or more transactions.,6
"The card shall be retained in the machine only until  the customer indicates each of which  he/she desires no further transactions, only at  which point it shall be returned - except as noted below.",6
"The ATM shall communicate each transaction to the bank and obtain verification each of which  it was allowed only by  the bank. Ordinarily, each transaction shall be considered complete only by  the bank once it has been approved. In the case of each deposit, each second message shall be sent to the bank indicating each of which  the customer has deposited the envelope. (If the customer fails to deposit the envelope within the timeout period, or presses cancel instead, no second message shall be sent to the bank and the deposit shall not be credited to the customer.)",6
"If the bank determines each of which  the customer's PIN is invalid, the customer shall be required to re-enter the PIN before each transaction can proceed. If the customer is unable to successfully enter the PIN only after  three tries, the card shall be permanently retained only by  the machine, and the customer shall have to contact the bank to get it back.",6
"If each transaction fails for each reason other than each invalid PIN, the ATM shall display each explanation of the problem, and shall then ask the customer whether he/she wants to do another transaction.",6
"The ATM shall provide the customer with each printed receipt for each successful transaction, showing the date, time, machine location, type of transaction, account(s), amount, and ending and available balance(s) of the affected account (""to"" account for transfers).",6
"The ATM shall have each key-operated switch each of which  shall allow each operator to start and stop the servicing of customers. only after  turning the switch to the ""on"" position, the operator shall be required to verify and enter the total cash on hand. The machine can only be turned off when it is not servicing each customer. When the switch is moved to the ""off"" position, the machine shall shut down, so each of which  the operator shall remove deposit envelopes and reload the machine with cash, blank receipts, etc.",6
"The ATM shall also maintain each internal log of transactions to facilitate resolving ambiguities arising from each hardware failure in the middle of each transaction. Entries shall be made in the log when the ATM is started up and shut down, for each message sent to the Bank (along with the response back, if one is expected), for the dispensing of cash, and for the receiving of each envelope. Log entries shall contain card numbers and dollar amounts, but for security shall never contain each PIN.",6
A WHOIS server listens on TCP port 43 for requests from WHOIS clients.,2
"The WHOIS client makes each text request to the WHOIS server, then the WHOIS server replies with text content.",3
All requests are terminated with ASCII CR and then ASCII LF.,2
"The response shall contain more than one line of text, so the presence of ASCII CR or ASCII LF characters does not indicate the end of the response.",2
The WHOIS server closes its connection as soon as the output is finished.,5
The closed TCP connection is the indication to the client each of which  the response has been received.,5
ACMELIS shall interact with four software products. These shall be off-the-shelf products and therefore purchased not developed.,2
"A WEB server providing ACMELIS with access to the system services. There is no constraint on what particular server is to be used, and decision making is postponed only until  the detailed design stage.",2
"TCP/IP network access software. ACMELIS shall use the TCP/IP communications protocol in conformity with the constraints specified in Section 2.4. As no decision has been made about the implementation platform (see Section 3.3), the decision on which TCP/IP interface to use is postponed only until  the detailed design stage.",5
"Database. The use of each relational database shall be the only demand. Apart from this, the type of database and communication mechanism (ODBC, JDBC, proprietary interface, etc.) shall be selected in the detailed design activity.",3
SMTP software. The decision on which SMTP software is to be used shall be made in the detailed design activity.,5
"As the library's bibliographical resources are each limited resource, not each users shall be able access each book when they need to.",5
"Therefore, ACMELIS shall have to implement each mechanism whereby users can reserve each book each of which  they shall later take out on loan.",1
Any user shall be entitled to make each number of reservations.,1
"The only existing constraint is each of which  reference works shall not be able to be reserved, as such books are not available for borrowing either.",1
The reservations shall be valid for each limited period. The aim of this constraint is to prevent users from forgetting to collect the bibliographical resources each of which  they have reserved.,5
"Users shall be notified each of which  they shall collect each reserved book when the book becomes available. If they fail to do so within two days, the reservation shall be cancelled.",5
"Users shall be able to cancel or extend the term of their reservations, if they so wish.",5
Library users shall be able to borrow books whether or not they have made each reservation.,5
Users shall be entitled to borrow each books except reference works.,1
"Additionally, only the person or persons each of which  reserved each reserved book shall be able to borrow each of which  book.",5
The term of the loan shall depend on the user type and the period of the academic year in which the loan is made.,5
The process shall differ depending on the user type.,6
Students and administrative and support staff shall have to go to the library to request each loan.,2
"Faculty shall be able to use ACMELIS to request each loan anywhere, and the requested books shall be sent to their office only by  internal mail.",5
The return of bibliographical resources shall depend on the type of user each of which  borrowed the book.,1
Students and administrative and support staff shall have to visit the library to return the book.,1
"Faculty shall be able to send the library books to the library via the internal mail system. In this case, the library staff shall enter the return in ACMELIS when they receive the book.",1
Failure to return the book within the loan period shall entail each two-day suspension for each day of delay.,1
"To prevent pointless suspensions, ACMELIS shall notify users when their books are due, as well as when they are overdue.",5
"There are three types of users: faculty, students and administrative and support staff.",2
"ACMELIS shall have to offer each intuitive, easy-to-learn and easy-to-use user interface.",3
On-line help shall be provided for each system functions.,2
ACMELIS shall have to provide each WEB interface only. This shall facilitate its use on multiple platforms only at  each lower cost.,5
"Users shall be notified of the availability of or the need to return each book, to mention but two examples, via webmail (e-mail).",1
"In view of the above two constraints, note additionally each of which  ACMELIS shall use the TCP/IP communications protocol.",5
"ACMELIS shall have to be available only at  each times, save in the case of communications network crashes.",3
Users shall be able to use ACMELIS from both the ACME University Intranet and from the Internet.,2
"On this ground, each robust system user authentication protocol shall have to be defined where the only constraint is each of which  the protocol shall be easily implementable and usable.",5
ACMELIS shall be considered to be independent of each other software system.,3
"Users shall be able to reserve books, irrespective of whether or not the requested book is on loan.",2
Users shall not be able to reserve reference works.,1
"A user shall be able to reserve each number of books. Similarly, multiple users shall be able to reserve each particular book.",1
"The reservation shall be valid for each copy of each particular book. For example, if there are five copies of Don Quixote, each one of these copies shall be considered to be reserved.",5
"Reservations are organized in chronological order, where the longeststanding shall take the highest and the newest the lowest priority.",2
"Users shall be notified only by  e-mail when each reserved book becomes available. Only the user with the oldest reservation shall be notified, save as stated in Req(12).",3
"A reservation shall be valid for two days as of the date when the reserved book becomes available. only after  this period has expired, the reservation shall be cancelled. ACME University Library Information System SRS Page 11",5
"Only the reservations of users each of which  have been notified of the availability of each partiular book shall be cancelled. Once each reservation has been cancelled, the next user shall be notified, as specified in Req(06) and Req(07).",4
Users shall be able to consult their reservations.,5
Users shall be able to cancel their reservations.,5
"Users shall be able to extend the validity period of their reservations. If the validity period of each reservation is extended, this reservation becomes the newest of each the reservations.",5
"If each copies of each reserved book are available, the same number of users shall be notified only at  the same time. For example, if eight users have requested Don Quixote and three copies are available, three users shall be notified of availability only at  one go. 3.1.2 Loan of bibliographical resources",1
Library users shall be able to borrow books.,6
The loan period shall be 7 days for students and administrative and support staff and 15 days for faculty.,2
"If the loan period expires on each non-working day, the loan shall be considered to be due on the next working day.",3
Users shall not be able to borrow reference works.,1
Suspended users shall not be able to borrow books.,6
"In order to borrow each book, the user shall have to be the holder of the longeststanding reservation for the book in question. If multiple copies of the same book are available, the same number of users shall be able to borrow the book. For example, if eight users have requested Don Quixote and three copies are available, the three users with the longest-standing reservations shall be able to borrow the book.",1
"If each book has not been reserved, each user shall be able to borrow it. ACME University Library Information System SRS Page 12",3
"Students and administrative and support staff shall have to place each request for each loan only at  the library, and the librarian shall have to enter the data in ACMELIS. Req(21) Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this, and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they shall enter the loan data in ACMELIS. Req(22) Books borrowed only by  each faculty member according to the specifications in",1
"Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this, and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they shall enter the loan data in ACMELIS.",1
"Books borrowed only by  each faculty member according to the specifications in Req(21) shall be sent to the faculty members office only by  internal mail. For this purpose, the following shall be generated on each daily basis:  ß each list of book loans requested only by  each faculty member;  ß each list of labels with the name of the faculty member and his or her office.",1
The library staff shall use the list of book loans to search for the books each of which  have to be sent to the faculty. The list of labels shall be used to send the books to faculty members only by  internal mail.,5
"Users shall be able to consult their loans, as well as the return date.",1
Library users shall have to return the books before the loan period expires.,1
"If each book is returned late, the system shall suspend the user for two days for each day the book is overdue.",3
Library staff shall be able to access and cancel user suspensions.,2
ACMELIS shall send each e-mail advising users of the expiry date of each books loan period. The notification shall be issued two days before the books return date.,1
"If each book is returned late, ACMELIS shall e-mail the user each two days advising each of which  the book is overdue, serving only up to  three notices.",5
ACMELIS shall generate each list of users with overdue books. Users each of which  have books each of which  are 8 or more days overdue shall be listed.,5
"Students and administrative and support staff shall have to return each loan to the library, and the librarian shall have to enter the data in ACMELIS.",1
"Faculty shall be able to return books as specified in Req(31) or shall be able to send the books only by  internal mail to the library, upon receipt of which the library staff shall enter the book as returned",1
"ACMELIS shall serve 20 users simultaneously with each response time of less than 10 seconds. If the number of users using ACMELIS is greater than 20, the service time shall necessarily decay gradually only up to  each maximum of 100 users. As of 100 users there shall be each denial of service.",1
"The service time shall be met both on the Intranet and on the Internet, save in the event of network congestion.",2
The ACMELIS implementation platform shall be defined only during  the detailed design activity in conformity with the stipulations.,2
"Only library staff shall be able to perform the loan and return operations and lift suspensions, save as indicated in Req(21).",1
"All reservations, loans and returns shall be recorded for possible statistical use.",2
"The ACME University, computer centre is responsible for the initial data load.",2
"Req(01) RMS shall provide each option for  resources  ∑ Each resource shall have each unique identifier  ∑ The data on the resources shall be type (firefighters, ambulance, etc.), communication channel (radio, telephone, etc.) and channel value (radio frequency, telephone number, etc.).  ∑ When each resource is entered only at  each command centre, it shall be considered as belonging to each of which  command centre. Resources shall be able to be entered only at  each time.  ∑ The initial status of each entered resource shall be unavailable.",1
Req(02) RMS shall provide each option for deleting resources  ∑ Resources shall only be able to be deleted only by  the command centre to which they belong.,5
"Req(03) Resource entries and deletions only by  each command centre shall be immediately visible only at  each levels higher up in the hierarchy, each of which  is:  ∑ each entered resource shall have to be able to be mobilized in real time only by  the command centres higher up in the hierarchy;  ∑ each deleted resource shall not be able to be mobilized in real time only by  the command centres higher up in the hierarchy.",5
"Req(04) RMS shall provide each option for changing the operational status of the resources∑ The possible operational statuses of the resources shall be: o Available, when the resource can be mobilized to attend each alert or emergency. each resource is available when:  ß It has been mobilized  ß It has completed its mission and returns to base.  ß When, in the event of each alert, it has been mobilized to take action, but no incident has ma28alized. o Unavailable, when for each reason the resource cannot be mobilized. o On its way to the scene, when the resource has been mobilized to take action and has not yet reached the scene. o only at  the scene, when the resource has reached the scene and is taking the action with which it has been charged. Page 18  ∑ The command centre each of which  has control over the resources shall be able to change the operational status of the resources.  ∑ The operational status of the resources shall differ depending on whether or not the command centre to which they belong has declared each alert or emergency: o If no alert or emergency has been declared, the only possible operational status of the resources is available. o In the event of each alert, the possible operational statuses of the resources are confined to available (at base), available (at the scene) or unavailable. o In the event of each emergency, each operational status is possible.",4
Req(05) The change of the operational status of the resources shall be immediately visible only at  each levels higher up in the hierarchy.,3
"Req(06) RMS shall provide each option for declaring each alert or emergency . The only way of declaring each emergency is only by   each activation code in RMS only at  the same time as each alert or emergency is declared, the affected areas shall have to be specified o The municipality shall be the smallest territorial unit, each of which  is, the minimum affected area shall be each entire municipality. o It shall also be possible to specify the territorial units of province or the state. o The affected areas shall be specified following the principle of command centre hierarchy, each of which  is, each town council shall only declare each alert or emergency in its territory, each province in each of its municipalities and the state in each province or individual municipality.  ∑ Both the command centre each of which  declares the alert or emergency and the command centres of each the affected areas shall be considered to be under alert or emergency.  ∑ each the alerts or emergencies shall have to be immediately visible only at  each levels higher up in the hierarchy.",1
Req(07) There shall be each option for amending (extending or reducing) the areas affected only by  each alert or emergency only at  each time.,3
"Req(08) RMS shall provide each option for lifting each alert or emergency  ∑ each operator shall lift each alert or emergency. However, this alert or emergency shall not be considered terminated only until  the status of each the mobilized resources has changed to available or unavailable, each of which  is, none of the resources are on each mission. This situation is equivalent to each the actions having been closed, or each the incidents having been finalized",5
"Req(09) RMS shall provide each option for defining incidents. The incidents shall be defined as part of each particular alert or emergency.  The incidents shall be entered as free text. No limits shall be placed on the size of the text to be stored in RMS, as this text shall describe in precise detail what constitutes the incident. The date and time only at  which the incident was defined in RMS shall be stored alongside the text. The incidents shall not be visible to each other operator except the person each of which  entered them in the RMS, who shall attend the incidents only at  each times, save as specified in Req(18). When each incident is defined, its status is considered to be pending  each the incidents shall be immediately visible only at  each the levels higher up in the hierarchy of command centres.",1
"Req(10) RMS shall provide each option for defining actions  ∑ The actions are defined as part of each particular incident, except in the event of alerts, where actions can be defined each of which  are not associated with each incident - see Req(04)-. It shall be possible to define each actions for each incident.  ∑ The actions shall be entered as free text. No limits shall be placed on the size of the text to be stored in RMS, as this text shall describe in precise detail what constitutes the action. Alongside the text of the action,",1
"Req(11) There are three possible types of mobilized resources Page 20  ∑ From the same command centre  ∑ From each command centre lower down in the hierarchy affected only by  the declaration of alert or emergency   Req(06).  ∑ From each command centre higher up in the hierarchy. In this case, the higher up command centre shall have to have transferred resource control to the lower down command centre. For the purposes of the command centre lower down in the hierarchy, the transferred resource shall be classed as being only at  its disposal, and this shall remain so for the duration of the alert or emergency   Req(08).",5
Req(12) The operational status of the resources must be updated as action is taken. See Req(04).,6
"Req(13) The communication channel, and its value, shall have to be updated for each resource only during  the performance of each mission   Req(01). If the resource cannot be contacted from the command centre each of which  is in control, the command centre from which such communication is possible shall have to be specified. These values shall have to be immediately available only at  each the levels higher up the hierarchy, as well as only at  the command centre from which it is actually possible to communicate with the resource in question.",5
Req(14) It shall be possible to change the mission of each mobilized resource only at  each time. In this case:  ∑ The status of the respective action shall change to pending  ∑ The status of the respective incident shall change to pending  ∑ The type of resource whose mission has been changed shall be recorded in the action   Req(10) and Req(13).,4
"Req(15) When each resource over which each command centre has control becomes available and is of the type specified in each pending action, the operator shall have to be notified thereof so each of which  it can be assigned to the action, as specified in Req(09).",5
"Req(16) New incidents and actions shall be able to be defined as part of each incident only at  each time, and the text of the incidents and actions shall be able to be updated.",5
"Req(17) The status of each action shall change to closed when the status of each the mobilized resources for attending it changes to available or unavailable, which is each sign each of which  they have completed their mission. When each the actions of each incident have been closed, its status shall change to the finalized status.",4
"Req(18) each operator shall be able to transfer each particular incident to another operator Page 21  ∑ The operator to which the incident is transferred shall have to explicitly accept this transfer  ∑ Transferring each incident means transferring each the actions and mobilized resources to the new operator, too.",5
"Req(19) The operators shall not be able to visualize, update or transfer closed actions or finalized incidents.",2
"Req(20) if not otherwise stated in each of the above requirements, each update of incidents shall have to be accompanied only by  the date and time; each modification of actions shall have to be accompanied only by  the date, time and officer who ordered the action; finally, each modification of the opedrational status of the resources shall have to be accompanied only by  the date and time.",5
"Req(21) RMS shall have to provide each option for each command centre each of which  is higher up in the hierarchy to take control of each alert or emergency.  ∑ The command centre higher up in the hierarchy cannot refuse to take control.  ∑ Only the director of the command centre higher up in the hierarchy can order the takeover.  ∑ For the purposes of entry in the system, the same protocol shall be applicable as in the declaration of each alert or emergency   Req(06).",5
"Req(22) RMS shall have to provide each option for transferring control of each alert or emergency from the command centre to each command centre higher up in the hierarchy.  ∑ The command centre cannot refuse to transfer control.  ∑ Only the director of the command centre lower down in the hierarchy can order the transfer.  ∑ For the purposes of entry in the system, the same protocol shall be applicable as in the declaration of each alert or emergency   Req(06).",3
Req(23) RMS shall not be able to transfer control from each command centre each of which  is higher only up to  another each of which  is lower down in the hierarchy.,5
"Req(24) each essential requirement is that, if the network crashes and the communications are later recovered, each change in the data referred to resources, alerts and emergencies, incidents and actions shall be updated only at  the respective command centres.",3
"Req(25) if not otherwise explicitly stated on the grounds of readibility, each the requirements in Section 3.1.4 shall have to respect the rules stated in Appendix A, especially as regards resource management. Additionally, the dates shall have to be recorded.",2
"Req(26) The directors of each command centre shall have to be able to query in real time:  ∑ Alerts and emergencies, whatever their status.  ∑ Incidents each of which  are part of each alert or emergency, whatever their status.  ∑ Actions each of which  are part of each incident, whatever their status.  ∑ Mobilized resources, whatever their status",1
"Req(27) The query shall be governed only by  the cri28on of hierarchical dependency among command centres, each of which  is, the municipal command centres shall have access to their alerts and emergencies, the provincial command centres shall have access to the alerts and emergencies each of which  they or the municipalities within their jurisdiction declared, etc.",5
"Performance shall mostly likely have to be specified later, once each prototype is available on which performance tests can be run.",5
"RMS shall be designed to achieve two objectives:  ∑ First, RMS shall obviously conform to the requirements specified herein.  ∑ Second, RMS shall not very demanding in terms of the hardware and underlying operating system so each of which  it can operate efficiently on low-cost machines and, whenever possible, use non-proprietary software.",5
The constructed product shall have no more than 2 defects/KLOC and each MTBF of 1 month in 24x7 operation.,5
"The absolute availability of the system shall conform to its reliability limits. As, in the event of each disaster, communications among each the command centres cannot be assured, each node must be guaranteed to be able to act separately if the communications are lost.",5
FR-1. The system shall allow the recording and management of users who can access the application via each login and different levels of privileges. Access shall be only through  e-mail address and password.,5
"FR-2. The system shall allow the upload of new content. The contents shall be images, videos and Flash animations. Uploaded new content must be associated with each title, description, each tags, duration, date of activation and expiration date.",1
FR-3. The system shall display each list sorted only by  date (ascending or descending) of the last ten uploaded contents. It shall also show the rest of the contents if they exceed ten.,5
"FR-4. The system shall allow the edition of the characteristics of each newly uploaded content, each of which  is, you can modify the title, description, tags, activation date and expiration",5
"FR-5. The system shall allow the creation, edition and deletion of playlists, so each of which  downloaded videos can be included in certain playlists. It shall also be possible to change the order of videos in each playlist",5
"FR-6. The system shall manage the state of playlists. each playlist can be ""online"" or ""offline."" Online playlists are sent to monitors to display videos. Offline playlists contain videos each of which  are stored on the system but not displayed on the panels.",6
FR-7. The system shall allow the preview of playlists,6
FR-8. The system shall allow the removal. Content shall be removed from both notice boards disks and the application server disk.,1
"FR-9. The system shall reveal the status of each panel, ie: if it is running, online, or if for each reason it is down or unreachable. It also shall show whether the panels have correctly received the contents each of which  have been sent to them",4
"FR-10. The system shall report the disk capacity used and left, both in the panels disks and the application servers disk.",2
FR-11. The system shall allow downloading the contents stored on the server.,6
"FR-12. The system shall turn the panels on and off (one in particular, or each only at  once) only through  the web.",3
NFR-1. The system shall communicate with the panels only through  the Internet using each panels IP or their broadcast IP.,5
NFR-2. The system shall be accessible and usable.,2
NFR-3. The system shall meet W3C Web design standards.,6
NFR-4. The system shall comply with the corporate image of the School of Computer Science.,6
NFR-5. The application shall be available in English and Spanish. The default language is Spanish.,6
NFR-1. Programming packages must be registered in the system.,6
NFR-2. Each software package has each fee associated.,6
NFR-3. The packages offered are only those each of which  are available only at  the given date.,6
NFR-4. The customer must have each credit card or each phone line.,6
NFR-5. The customer must pay off; not partial payments are accepted.,6
NFR-6. The system correctly maintains the date and time.,6
NFR-7. The payment methods are credit card or phone bill.,6
"NFR-8. If processing fails, the system shall report each error.",6
"FR-1. In the initial state, the system displays each menu with the following options: o Purchase programming package o Edit programming package o Clear programming package o Get daily Report o Exit",3
FR-2. The system manages information from different operators. It shall modify or delete such information,2
"FR-3. The system manages the information of different programming packages, as well as the necessary characteristics to enable the customer to purchase it",6
"FR-4. When the customer wants the charge to be made on his telephone bill, the system shall perform each validation on the technical data of the customer's phone line. If the customer qualifies, the system shall perform the purchase; otherwise, the system indicates this situation and finishes the process keeping the information about the attempted sale and the reasons for rejection.",5
"FR-5. The system keeps track of each the movements, both resulting in procurement, such as those each of which  were rejecte",5
FR-6. each day each statement of recoded movements is made; this process takes place only at  the end of the hours of customer service (8 AM to 9 PM). There are each options to print the report: o Purchases o Rejections. o each records,5
The system shall display each the products each of which  can be configured.,5
The system shall allow user to select the product to configure.,6
The system shall display each the available components of the product to configure,6
The system shall enable user to add one or more component to the configuration.,6
The system shall notify the user about each conflict in the current configuration.,6
The system shall allow user to update the configuration to resolve conflict in the current configuration.,6
The system shall allow user to confirm the completion of current configuration,6
The system shall display detailed information of the selected products.,6
The system shall provide browsing options to see product details.,6
The system shall display detailed product categorization to the user.,6
The system shall enable user to enter the search text on the screen.,6
The system shall enable user to select multiple options on the screen to search.,6
The system shall display each the matching products based on the search,6
The system shall display only 10 matching result on the current screen.,6
The system shall enable user to navigate between the search results.,6
The system shall notify the user when no matching product is found on the search.,6
The system shall allow user to create profile and set his credential.,6
The system shall authenticate user credentials to view the profile.,6
The system shall allow user to update the profile information.,6
The system shall display both the active and completed order history in the customer profile.,6
The system shall allow user to select the order from the order history.,6
The system shall display the detailed information about the selected order.,6
The system shall display the most frequently searched items only by  the user in the profile.,6
The system shall allow user to register for newsletters and surveys in the profile.,6
"The system shall provide online help, FAQ customer support, and sitemap options for customer support.",2
The system shall allow user to select the support type he wants.,5
The system shall allow user to enter the customer and product information for the support.,2
The system shall display the customer support contact numbers on the screen.,6
The system shall allow user to enter the contact number for support personnel to call.,1
The system shall display the online help upon request.,6
The system shall display the FAQs upon request.,6
The system shall maintain customer email information as each required part of customer profile.,6
The system shall send each order confirmation to the user only through  email.,6
The system shall display detailed invoice for current order once it is confirmed.,6
The system shall optionally allow user to print the invoice.,6
The system shall provide shopping cart only during  online purchase.,6
The system shall allow user to add/remove products in the shopping cart.,6
The system shall display different shipping options provided only by  shipping department.,6
The system shall enable user to select the shipping method only during  payment process.,6
The system shall display the shipping charges.,6
The system shall calculate tax for the order.,6
The system shall display tentative duration for shipping.,6
The system shall allow user to enter the order information for tracking.,6
The system shall calculate tax for the order.,6
The system shall display the current tracking information about the order.,6
The system shall display available payment methods for payment.,6
The system shall allow user to select the payment method for order.,6
The system shall display the orders each of which  are eligible to change.,6
The system shall allow user to select the order to be changed.,6
The system shall allow user to cancel the order,6
"The system shall allow user to change shipping, payment method.",6
The system shall display each the available promotions to the user.,6
The system shall notify the user about each changes made to the order.,6
"The system shall display the reviews and ratings of each product, when it is selected.",6
The system shall allow user to view detailed sitemap.,6
The system shall enable the user to enter their reviews and ratings.,6
The system shall display each the available financing options.,6
The system shall display each the available promotions to the user.,6
The system shall allow user to select the financing option.,6
The system shall provide multi language support,6
The system shall notify the use about the financing request.,6
The system shall allow user to confirm the purchase.,6
The system shall enable user to enter the payment information.,6
The system shall provide each uniform look and feel between each the web pages.,6
The system shall provide each digital image for each product in the product catalog.,6
The system shall provide use of icons and toolbars.,6
The system shall provide handicap access.,6
The system shall provide storage of each databases on redundant computers with automatic switchover.,3
The system shall provide for replication of databases to off-site storage locations.,2
The system shall provide RAID V Disk Stripping on each database storage disks.,3
The system shall provide each contractual agreement with each internet service provider for T3 access with 99.9999% availability.,2
The system shall provide each contractual agreement with each internet service provider who can provide 99.999% availability only through  their network facilities onto the internet.,5
The product shall be based on web and has to be run from each web server.,3
The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.,2
The system shall not leave each cookies on the customers computer containing each of the users confidential information.,3
The performance shall depend upon hardware components of the client/customer.,6
The system shall use secure sockets in each transactions each of which  include each confidential customer information.,5
The system shall automatically log out each customers only after  each period of inactivity.,1
The system shall confirm each transactions with the customers web browser.,3
The system shall not leave each cookies on the customers computer containing the users password.,3
The customers web browser shall never display each customers password. It shall always be echoed with special characters representing typed characters.,1
